image,filt,final,pre,inf,decode,filter,nms,post,e2e
000000000139.jpg,120,17,0.7676075038034469,6.420164980227128,0.1836374867707491,0.4559979715850204,1.2000210117548704,1.8509690125938505,9.035300987306982
000000000632.jpg,55,6,0.7527910056523979,6.424292980227619,0.18387800082564354,0.45691002742387354,1.2019890127703547,1.845928985858336,9.026709478348494
000000000724.jpg,23,3,0.7541829545516521,6.422101490898058,0.185013486770913,0.45441396650858223,1.2027090124320239,1.8506649939808995,9.029765496961772
000000000785.jpg,18,2,0.7532549789175391,6.420500983949751,0.18494948744773865,0.4531499871518463,1.1960850097239017,1.8369525205343962,9.013699949719012
000000001000.jpg,135,15,0.7559914665762335,6.4253335003741086,0.186006014700979,0.45674998546019197,1.203285006340593,1.8496090197004378,9.030804445501417
000000001268.jpg,83,9,0.7586155261378735,6.420532998163253,0.18498150166124105,0.4559659864753485,1.2008525081910193,1.8401360139250755,9.021972509799525
000000001296.jpg,39,6,0.7542789971921593,6.422309001209214,0.18474197713658214,0.4553259932436049,1.2018605193588883,1.8457839905750006,9.021269012009725
000000001503.jpg,51,6,0.7560869853477925,6.4223250083159655,0.1852695131674409,0.45423797564581037,1.1999889684375376,1.8434964877087623,9.023283986607566
000000002006.jpg,39,4,0.7544870022684336,6.420948979211971,0.18503001774661243,0.45580550795421004,1.2054930266458541,1.85096898349002,9.028964472236112
000000002157.jpg,126,15,0.7547274872194976,6.419701006961986,0.1837490126490593,0.45393401524052024,1.197572477394715,1.8359920068178326,9.009683970361948
000000002261.jpg,14,2,0.767431512940675,6.418644479708746,0.1841649936977774,0.45483000576496124,1.1835400073323399,1.8263760139234364,9.011971997097135
000000003255.jpg,32,4,0.7524710090365261,6.422244507120922,0.18456601537764072,0.4539015353657305,1.2079890293534845,1.8479450372979045,9.022693004226312
000000004495.jpg,30,3,0.7548395078629255,6.421988538932055,0.1844695070758462,0.45575801050290465,1.21206947369501,1.8539125157985836,9.03067650506273
000000005193.jpg,92,10,0.7550309819635004,6.424501014407724,0.18506200285628438,0.45811000745743513,1.2104689958505332,1.8569690000731498,9.037301002535969
000000037777.jpg,72,12,0.756183493649587,6.42254896229133,0.18518997239880264,0.4563659895211458,1.206452987389639,1.8520244921091944,9.030837041791528
